Param1	Param2	Boards Accepted	Boards Scored	Board	Score	Time
10.0	20	18	118	wtinsorereasndtt	1235	0.853
10.0	40	23	306	stsheiaednrtseos	2184	2.715
10.0	60	26	337	aselcsrehaetelts	1226	2.661
10.0	80	23	505	sirodeteparsroct	1663	3.665
10.0	100	27	431	irtpesaestlmreal	1520	3.604
10.0	120	22	446	peahtmrsaietsndd	1614	3.694
10.0	140	31	728	elteparssecehtsd	1712	6.299
10.0	160	36	822	haerstlsteilrsdr	1714	6.531
10.0	180	37	1186	linspatersrdteio	2233	11.349
10.0	200	24	592	epaebltreaisrdne	1955	5.14
10.0	220	26	787	osedtnireralrpsc	2216	7.499
10.0	240	59	2049	dtsoenalsripetes	2704	18.762
10.0	260	33	1637	udsranepetilsras	2994	17.212
10.0	280	46	1303	rsliteamitepsros	1864	11.138
10.0	300	40	1968	sltsetaharecbdsr	2242	18.669
10.0	320	49	1442	lergtanssidetere	2186	12.211
10.0	340	43	1653	saesntrceiaedspl	2790	18.266
10.0	360	38	1766	dtrssetrniaegmlp	2381	15.171
10.0	380	52	2535	ridepenssatirela	2508	25.676
10.0	400	33	2201	heasstrpoeiormsn	2027	21.116
10.0	420	38	968	egstnlaeairdcste	1836	7.528
10.0	440	28	1133	srsletapniredess	2372	10.924
10.0	460	19	1153	sedrcnreiateslps	2480	10.951
10.0	480	30	1802	tosecrndeaeimstr	2133	18.59
10.0	500	44	2900	ansriteperalsted	2599	32.204
10.0	520	33	2936	destniregataeslp	2631	31.222
10.0	540	50	2145	stnsaietplrtseas	2494	22.415
10.0	560	32	1514	snisteltdaremisr	2178	13.799
10.0	580	32	1705	sresepindlatecse	2342	15.811
20.0	20	18	94	drtsetaedisrgabp	1041	0.587
20.0	40	21	236	sersltaisiteeans	1685	1.693
20.0	60	25	265	dnstoeievrepitsw	1242	1.787
20.0	80	22	212	sosetentaisapeht	909	1.445
20.0	100	44	1018	peddsaleterlrsib	1962	8.948
20.0	120	23	350	nietsrtselahpdep	1876	2.928
20.0	140	40	629	serpdalemitsaner	2348	5.226
20.0	160	50	658	psaveltiniedatsr	1712	4.601
20.0	180	34	986	aesodlrteiaestsp	2446	10.709
20.0	200	46	995	tnetsriselatbped	2425	9.529
20.0	220	37	1164	psedmatrleratsni	2127	10.284
20.0	240	51	1725	desoentrgaierels	2454	15.903
20.0	260	32	865	aintfpeeorsdstei	1213	6.655
20.0	280	40	1468	stesenamdrilsets	2826	14.154
20.0	300	47	1151	mtsreaierlndsgio	2605	10.127
20.0	320	48	1608	smetirasetelsnip	2363	17.326
20.0	340	44	1109	itedslnreiaerpst	2392	10.907
20.0	360	44	1948	satsneludirovest	2217	17.908
20.0	380	45	1400	reilstlmtsapereg	2085	11.846
20.0	400	37	2435	snidaterlesiparp	2069	23.301
20.0	420	26	1891	osestrdeeainrpsg	1940	16.595
20.0	440	47	2305	ramstilgsenedars	2569	21.69
20.0	460	43	1566	sengltriiaessntr	2368	15.018
