Param1	Param2	Boards Accepted	Boards Scored	Board	Score	Time
19	110	410	8200	mripeandltseders	2016	18.687
19	120	417	8340	geranrtsaieatslf	2013	23.706
19	130	854	17080	serstinelartpeso	3082	46.563
19	140	578	11560	splseaiecrtndesa	2911	31.635
19	150	642	12840	sresttaleripsdes	2652	36.402
19	160	656	13120	rsdaterinatesils	2689	37.142
19	170	292	5840	hslseateperisods	2104	15.64
19	180	456	9120	spedalirrtensesg	2410	23.278
19	190	1092	21840	dlpdeaiestrntees	2755	60.975
19	200	508	10160	esnilitedarsreto	2340	28.684
19	210	930	18600	dntseiaesrlpates	3116	53.72
19	220	1193	23860	sterartslieafsng	2237	66.319
19	230	458	9160	dtisserdlanepits	3093	26.398
19	240	821	16420	perdlagetinssert	3015	42.729
19	250	999	19980	sersdrteeainplsg	2968	54.145
19	260	1023	20460	seropatslietansr	2254	57.41
19	270	576	11520	sinscaterelrtspa	2369	31.39
19	280	1111	22220	lspdiaeintrcseas	2669	65.543
19	290	537	10740	soairntseierstad	2204	30.248
20	10	34	714	raeseltnasiodprf	1395	1.777
20	20	121	2541	tsthealorerosthc	1501	5.434
20	30	88	1848	utasenetarisplem	1698	4.924
20	40	232	4872	eotssnreaeiartsp	2080	13.183
20	50	314	6594	csrpilepatassret	1995	18.791
20	60	90	1890	ntmieidsselotars	1235	4.035
20	70	267	5607	crdtolessarhtect	1550	13.758
20	80	468	9828	plsneaiestrdreea	2435	24.465
20	90	395	8295	gndlteiesarslept	2444	20.4
20	100	581	12201	sredetamtnilgsed	2637	32.275
20	110	330	6930	mnsroieatcltsaos	1672	16.01
20	120	530	11130	gresenacstilores	2959	30.019
20	130	318	6678	tlshetaneripnses	1947	17.404
20	140	960	20160	schdateserapsnil	2697	54.244
20	150	558	11718	sndrgiaeertssten	2355	31.399
20	160	696	14616	scudtreseatnslia	2252	38.308
20	170	627	13167	sblpreasettnhsig	2077	37.04
20	180	640	13440	nedstiresalcwpes	2324	32.394
20	190	480	10080	destritetanrlsed	2542	27.387
20	200	520	10920	spseetaneritrsed	2186	31.056
20	210	833	17493	bstdlaiepersrsto	2455	46.41
20	220	605	12705	testrstaeaerplid	2136	38.864
20	230	802	16842	bansditelertslas	2542	45.677
20	240	1241	26061	dnereitssratopel	2886	72.607
20	250	534	11214	milsranlptegssrd	2186	24.779
20	260	948	19908	gnawslineateders	2008	51.606
20	270	1161	24381	seacltrdiaessngr	2833	65.222
20	280	593	12453	esoprstrpeaealdc	1802	34.344
20	290	1429	30009	elshgateniradest	2728	87.13
21	10	53	1166	rsehetrdlaeaopst	1722	2.719
21	20	101	2222	itcsshapeserhitd	1292	4.608
21	30	83	1826	hseteriaatngupes	1293	3.76
21	40	138	3036	pcseaietttnrdeas	1605	7.042
21	50	235	5170	lecsparemitadesn	2280	13.588
21	60	107	2354	bmphtoaelnrtdesi	1360	4.779
21	70	302	6644	corsstneeiatsrls	2234	17.205
21	80	397	8734	blessaintnrtdese	2237	23.027
21	90	316	6952	preoaermstiaesnl	1683	17.385
21	100	427	9394	adetcrasetilsned	2622	24.415
21	110	411	9042	stngeiaetrlssaet	2487	24.795
21	120	441	9702	hsndtouesrtseiat	1619	22.164
21	130	390	8580	lingcatehersdist	2215	19.628
21	140	576	12672	dsnanetetirssalo	2017	34.394
21	150	590	12980	gtsenetrrilatspe	2059	32.043
21	160	498	10956	nslaoitcmaneresr	1796	25.788
21	170	455	10010	sredpetilanssier	2340	26.643
21	180	445	9790	tslcredaeanipstg	1678	22.726
21	190	725	15950	isecdntraeiarspl	2802	44.672
21	200	652	14344	atersinsretadalp	2259	38.426
21	210	506	11132	ptoselinsraeetst	1878	27.909
21	220	581	12782	sgesenalotipsres	2989	34.563
