Param1	Param2	Boards Accepted	Boards Scored	Board	Score	Time
1	10	72	144	hrilcaedetsesalo	1075	0.709
1	20	39	78	nehukaesrsdrenoi	748	0.206
1	30	140	280	hmiretseratepilp	1358	1.094
1	40	198	396	tedqlanssitaredt	1570	1.356
1	50	302	604	seranitspaeolsrf	1741	2.144
1	60	217	434	hlurecossratener	1479	1.372
1	70	306	612	gerdnseaeitldras	2313	2.851
1	80	193	386	esienertdotabasn	1356	1.336
1	90	506	1012	esgornldiaiepstr	1947	4.174
1	100	623	1246	serltnisoratspel	2438	5.652
1	110	825	1650	redasenopirsmate	2434	8.22
1	120	291	582	psoblaruteseshdt	1607	2.721
1	130	474	948	socantrseiaedsng	2392	4.858
1	140	379	758	tesonainctrghese	1623	2.967
1	150	969	1938	stlseiaernrgstes	2796	8.94
1	160	646	1292	lardpitesensdarg	2930	6.5
1	170	619	1238	lsceiarhnteaestl	1807	5.676
1	180	848	1696	stegeranatissled	2490	9.837
1	190	615	1230	dilbseaorhtrcaes	1987	4.93
1	200	449	898	ltsdeaencsretost	1616	3.809
1	210	470	940	isesmltreiaedtng	2441	4.93
1	220	1025	2050	hrasetrtsiaegnds	2312	10.734
1	230	689	1378	plederiscatehtsr	2023	6.294
1	240	696	1392	hctssaietlrndeas	2405	6.976
1	250	1900	3800	tsgrrenadetisals	2612	21.944
1	260	1352	2704	hsrdceneratipesh	2416	16.163
1	270	1192	2384	sprdpaieletsstro	2418	14.073
1	280	280	560	eequtttnceaaedorl	388	1.218
1	290	929	1858	srtpeiasdtneseru	2358	9.769
2	10	46	138	yrelisotaeshlrey	735	0.363
2	20	151	453	ltohainmreietsdl	1283	1.37
2	30	77	231	iorapntpeesondrs	1175	0.806
2	40	135	405	dsnloeaistrberop	1624	1.74
2	50	202	606	instnglreiaertnd	1564	1.803
2	60	163	489	asdyleuoettrrsag	1272	1.556
2	70	347	1041	animsteresactrin	1878	4.784
2	80	244	732	eolvpsiahatnsere	1376	2.735
2	90	308	924	slaseditsneptras	2196	4.038
2	100	333	999	urscdnepetilsras	2568	4.265
2	110	427	1281	esrdgnieeatlrtse	2189	5.356
2	120	306	918	cnesertlseiatnmr	1840	3.576
2	130	534	1602	taresetalinscage	2103	7.552
2	140	502	1506	snicetolarieptsn	1914	6.592
2	150	424	1272	sehlrtecesarslom	1830	5.357
2	160	635	1905	asegrtnreiaeslms	2964	9.598
2	170	274	822	wrsueanrltiepasp	1806	3.381
2	180	713	2139	rstdeiaednrleegs	2488	9.696
2	190	1051	3153	otsdarenepitslas	2868	14.744
2	200	775	2325	sdeterasclenstig	2245	10.287
