Param1	Param2	Boards Accepted	Boards Scored	Board	Score	Time
1	10	50	100	otraseocdinevlkn	547	0.545
1	20	87	174	tesynarneieamscm	1017	0.491
1	30	79	158	gtobanisiletedre	1326	0.605
1	40	125	250	gitnnaseterehidi	1518	1.103
1	50	295	590	setatartliesdent	2037	2.522
1	60	282	564	srrpeiaefltslaba	1535	1.951
1	70	684	1368	spmdreaeiltrlsec	1948	5.115
1	80	307	614	mbndtoessrutgnil	1218	1.629
1	90	498	996	saisbltnaeegrdsr	2174	4.6
1	100	232	464	aceesrhsboetonsa	1002	1.392
1	110	544	1088	osesrntreiaoslmp	2453	5.404
1	120	467	934	tsdasenelirebats	2203	4.195
1	130	603	1206	tsdgrenieitamspr	2151	5.871
1	140	140	280	lqursojaeoyhleext	131	0.249
1	150	605	1210	nerdtsaestlbreio	1829	4.746
1	160	1006	2012	sitgmrnseaiestrd	2498	10.831
1	170	421	842	itedoltrpeaesrst	1862	3.841
1	180	457	914	relssatipstaered	1779	4.493
1	190	892	1784	tpetsraselitbden	2483	8.378
1	200	1078	2156	asertnpmdeiarstr	2353	9.865
1	210	675	1350	dtlbseasrhtreice	1888	5.203
1	220	697	1394	tersstenoladcper	2324	6.355
1	230	886	1772	sapsteriltneaisr	2219	8.683
1	240	1143	2286	renasitsslaroped	2456	10.551
1	250	1072	2144	spleeaistrtnsege	2692	9.973
1	260	868	1736	insrdretcealhtsb	2011	7.443
1	270	915	1830	noessrtnetaidlsm	2260	8.428
1	280	2093	4186	gresenalstipares	3357	22.874
1	290	1716	3432	atessntreiaedmls	2888	17.423
2	10	21	63	qbrhineotsdasfui	361	0.093
2	20	93	279	treiestnsroeaomd	1254	1.102
2	30	84	252	paljsrseietnvori	1002	0.71
2	40	187	561	yenssrvitarehels	1468	1.725
2	50	301	903	sntdgaielersspto	2419	4.42
2	60	248	744	cltheaostrneseit	1959	3.608
2	70	494	1482	depsflrtiaeertsd	1781	6.226
2	80	342	1026	toussrnteeaihtsm	1907	4.495
2	90	686	2058	rplsseiadntrites	2984	9.39
2	100	348	1044	dnoletabscerhhsd	1433	3.531
2	110	519	1557	asepdntrreiastsp	2454	7.685
2	120	383	1149	estnstaeierpgnis	1913	5.075
2	130	398	1194	blgseaindrtaoseh	2212	4.553
2	140	1172	3516	siabntlsetepsrad	2617	16.223
2	150	788	2364	teparslbeiaestng	2492	11.012
2	160	672	2016	laenprtssietneld	1866	9.527
2	170	785	2355	epassirtnetedasn	2345	11.895
2	180	755	2265	spldtiaeerntsges	2962	12.311
2	190	744	2232	dmslaeiartnroseg	2637	11.786
2	200	556	1668	sndeteiperalsted	2286	7.948
2	210	1476	4428	anesgripetalrsed	2749	22.604
2	220	563	1689	satsliredengstar	2603	7.933
2	230	1008	3024	soneritsetaedsrl	2226	14.143
2	240	892	2676	etasrintposecard	1881	10.812
2	250	561	1683	dersnilaeatestrs	2387	8.696
2	260	698	2094	srentaiselptsres	2424	9.489
2	270	1323	3969	ditssenareligaps	2682	19.721
2	280	1199	3597	csesoatrtrieesgn	1940	16.069
2	290	1305	3915	speseranttidaser	2472	22.059
3	10	51	204	serulactostanivi	714	0.486
3	20	101	404	onshiredetalpssm	1718	1.223
3	30	125	500	gerbhaeitslderob	1334	1.692
3	40	192	768	ragsemnrpoiehrst	1290	2.065
3	50	291	1164	rnasepirsletotas	1967	5.148
3	60	142	568	teiasrtneaesndlg	1940	2.426
3	70	214	856	delcsapiretmytsa	1502	3.152
3	80	525	2100	sneraitsrtarspeg	2057	8.339
3	90	277	1108	tedtrsroaesuftat	1333	3.803
3	100	354	1416	lpsrateatrinesos	1937	6.024
3	110	568	2272	doutterssanelitg	2191	9.875
3	120	349	1396	dltseiaengrptest	2664	5.62
3	130	444	1776	plrmieaistnsored	2146	8.029
3	140	660	2640	opessratetildnse	3011	12.789
3	150	727	2908	setdlanepirsseta	3048	14.217
3	160	357	1428	saesmtndeiaesrps	2398	7.066
3	170	626	2504	taessrlteiacdmhs	2226	11.304
3	180	574	2296	esehsrattelinams	1691	10.141
3	190	700	2800	elidstaeaesnprit	1817	12.792
3	200	576	2304	stesialdrtieesnm	2124	9.928
3	210	1064	4256	eslprtaeentrgsia	2497	19.637
3	220	1016	4064	opassritetenlasd	2552	21.63
3	230	570	2280	dnlpeeiasrtsated	2433	11.005
3	240	1300	5200	dpsimelthatescrs	2174	19.787
3	250	676	2704	dinssertpatelins	2796	13.523
3	260	777	3108	derfrslaietidtns	1834	13.579
3	270	718	2872	salsnitegeradspl	2674	12.371
3	280	1155	4620	gsedtnitorasspec	2756	21.785
