Param1	Param2	Boards Accepted	Boards Scored	Board	Score	Time
10.0	20	9	46	ldgqoesnpncptaor	354	0.17
10.0	40	16	126	lksnaseitrtmenae	1182	0.887
10.0	60	38	434	retitsirsalarepm	1464	2.827
10.0	80	26	336	esserplteairntsn	1466	2.725
10.0	100	31	385	ctioarsdpteesesr	1487	3.484
10.0	120	32	953	siesntrtoeaislds	2227	8.469
10.0	140	26	454	drseeircstalinev	1746	3.322
10.0	160	16	534	mangriteltesedar	1761	4.454
10.0	180	29	1039	rsnepetrlasedert	1965	10.767
10.0	200	30	740	teossnrtaierctas	1714	6.863
10.0	220	36	572	dplaeairsnteters	2126	4.698
10.0	240	29	796	shesetrdlaiecsmn	2024	7.518
10.0	260	34	666	sidtlenecarssito	2181	5.981
10.0	280	30	945	tesedtrcieaospms	2168	9.396
10.0	300	35	1605	dtrmiesatsepator	1945	15.945
10.0	320	32	1336	dltseaiepsrdreta	2380	13.377
10.0	340	35	1499	sdespertlitesans	2685	15.027
10.0	360	33	931	cslctiaepenrrsto	1962	8.368
10.0	380	29	1124	esrprtaeeintslas	2302	11.246
10.0	400	37	2279	scsulerttaeihsnd	2171	21.459
10.0	420	33	1201	mnstaiealtrdease	2084	12.03
10.0	440	32	1268	sinarteseatrpled	2096	12.38
10.0	460	23	1079	enordrepseasblth	1923	9.292
10.0	480	25	1266	hesecarttrinesed	2141	11.964
10.0	500	27	1255	seigntrniaetslds	2523	12.484
10.0	520	29	2507	gsosrntreaieslps	3088	25.851
10.0	540	27	1318	spaceritdtensisg	2162	11.852
10.0	560	33	2694	dlpreaiestndters	2594	25.001
10.0	580	28	1687	sblsoaetcrteders	2121	15.249
20.0	20	12	66	ylotlbertaromspe	713	0.358
20.0	40	24	170	setortrnniaequms	1370	1.101
20.0	60	12	197	sntsniaeetrmdreh	1557	1.606
20.0	80	26	353	soruptneaesddret	1568	2.631
20.0	100	20	341	dsaeettrniaequsld	1632	2.794
20.0	120	28	516	plsraieostndreta	2335	4.925
20.0	140	31	567	ressnitesaratome	1703	4.811
20.0	160	34	583	rdaeoerspteiastd	1621	4.452
20.0	180	43	888	dtlseatirenotslg	1707	7.076
20.0	200	25	906	seaglrgnoaeitstd	2011	8.848
20.0	220	37	1043	sldreaiebrtsouat	2094	10.085
