Param1	Param2	Boards Accepted	Boards Scored	Board	Score	Time
1	10	27	54	rchlbeiptrasietc	639	0.592
1	20	94	188	dloncesinamtipli	667	0.503
1	30	98	196	uosytageeslnwati	823	0.385
1	40	115	230	enopgisemtntaiau	726	0.737
1	50	291	582	eceslaremintfdes	1697	2.321
1	60	250	500	dsedetironarcgep	1899	2.821
1	70	298	596	hintterosabsweli	1708	3.594
1	80	515	1030	grseenipetalhsre	2345	4.841
1	90	516	1032	srasetipinalgred	2888	5.944
1	100	272	544	drieserstaetidls	1743	2.624
1	110	484	968	eticgnslseaeprtm	1802	3.822
1	120	321	642	idelarabitsunedt	1175	2.263
1	130	918	1836	sdesorittpaluser	2542	9.104
1	140	485	970	ustrrnieeeradstg	1740	4.196
1	150	363	726	tdeeesltpisamoth	1124	2.493
1	160	557	1114	sotiranscetesdrt	1869	5.212
1	170	907	1814	slinepatsrestedl	2181	10.327
1	180	873	1746	rsdaterisaetmpls	2447	8.602
1	190	924	1848	dntseiaesrlrtpes	2780	9.338
1	200	797	1594	derslateeptssroa	2026	7.424
1	210	911	1822	aiesntrpseaehcdl	2511	8.856
1	220	1004	2008	aperslagetinarse	2661	10.486
1	230	818	1636	shdscaetgrtaenis	1813	7.061
1	240	1008	2016	tplmseaiarnttges	2583	11.058
1	250	1058	2116	entssiaetrlpedes	2563	10.531
1	260	595	1190	icesstrlieaidnts	2345	6.82
1	270	1689	3378	soastprtaeiegnsd	2338	18.918
1	280	739	1478	rstletaeirsmcnoi	1833	7.273
1	290	1177	2354	reslcatilenapsrg	2439	14.172
2	10	18	54	espwtlowurahliny	411	0.148
2	20	62	186	uesobtrnhatepsrh	1160	0.747
2	30	123	369	lroftailetensrsd	1590	1.811
2	40	104	312	eselstaherotivus	1211	1.335
2	50	141	423	detspaersirltels	1610	1.798
2	60	282	846	lstupercmanelits	2301	3.971
2	70	507	1521	drapeitesnrsatop	2199	7.332
2	80	235	705	reaptlsratierenm	1627	3.622
2	90	398	1194	csnaretitaelpsrd	1878	5.865
2	100	263	789	dertaesiltnasorg	1707	3.67
2	110	346	1038	atedsrneeaisplte	2502	5.428
2	120	466	1398	sngditesrasrlepe	2168	7.213
2	130	542	1626	gnseeatrliresons	2279	8.883
2	140	575	1725	pantlitesersdtao	2615	9.718
