Param1	Param2	Boards Accepted	Boards Scored	Board	Score	Time
10.0	20	9	50	ffpoftndeeeirrsf	538	0.263
10.0	40	22	184	onhsutessretelas	1223	1.429
10.0	60	24	144	zedlrenoastuqtar	884	0.769
10.0	80	8	158	ponttiserecepmri	865	1.109
10.0	100	19	440	unesopatsrintsec	1936	3.999
10.0	120	20	349	sregetrdneasditw	1966	2.836
10.0	140	31	509	hseftertalessnid	1493	4.021
10.0	160	32	883	rlaneritstesinad	2214	9.168
10.0	180	26	876	slbmdelaretistns	2062	9.573
10.0	200	27	708	srtseaielgnriets	2268	7.068
10.0	220	55	1318	sltsateneridospl	2254	13.353
10.0	240	39	1312	anerstisetaldrep	2802	15.487
10.0	260	37	1251	pssreatelrinopsa	2425	11.109
10.0	280	25	1071	dstbeialnreigstd	2177	9.557
10.0	300	26	1437	siasrtngeaeitsrd	2240	14.953
10.0	320	24	878	sedmtireolatsres	2100	8.442
10.0	340	33	1294	rsedetintarssebo	2072	12.74
10.0	360	34	2111	sergltnaaiedsrts	2471	22.823
10.0	380	30	708	queslrteaainrdmst	1612	5.938
10.0	400	3	417	tquedtnchgraeetni	423	1.517
10.0	420	39	2372	pilddaseretrgnia	2236	25.337
10.0	440	28	1002	srteeiastnlpseer	2493	11.408
10.0	460	34	1285	redgsineltreeats	2167	12.357
10.0	480	24	1594	ralspetasirtgnes	2377	18.717
10.0	500	31	1820	tescrstoeaerdlps	2217	21.6
10.0	520	34	1547	speselarritecans	2359	16.444
10.0	540	34	1695	onsriteposalcrec	2244	18.368
10.0	560	45	2593	cplbaiaenrtsgset	2525	30.272
10.0	580	39	2965	stisenalerepdtsr	2820	33.363
20.0	20	14	77	estbiemariteswns	871	0.437
20.0	40	18	186	sedwmrnoieacrtsh	1381	1.348
20.0	60	26	285	haidpserserscati	1406	2.207
20.0	80	22	304	asodrtraaeeptshs	1326	2.388
20.0	100	32	553	tplsaenasritotes	2161	5.349
20.0	120	26	282	psndoeesgliranac	1310	1.987
20.0	140	24	566	neshirteetaldspi	1886	4.662
20.0	160	41	1091	rsacetertnissalt	2240	9.832
20.0	180	35	553	ergdaneeitsrdeao	1652	4.805
20.0	200	40	1123	tacsnilpetaedrsr	2283	10.568
20.0	220	35	802	grtseaietdnrstes	2331	8.712
20.0	240	43	1167	srtsteiarndlgees	2277	11.536
20.0	260	42	1338	toissrntpeaeolsc	2087	13.07
20.0	280	34	1210	ceesrgndeaietstr	2161	12.182
20.0	300	42	1006	htinsareletsdter	1918	8.251
20.0	320	39	1853	pitrsaretelsdipo	2305	19.503
20.0	340	30	1233	salentisoetnsrae	1731	10.052
20.0	360	59	1038	rstieracntelsils	2002	8.803
20.0	380	45	1919	ateslrtnseairdms	2342	22.947
20.0	400	33	1175	hseaterglanesitd	2522	12.482
20.0	420	45	1223	pesdlatesirtdens	2798	13.195
20.0	440	58	1900	sipstalenerodist	2710	19.558
20.0	460	41	2049	matslineseradtsc	2626	21.019
20.0	480	39	1728	plrtiaesntsogeru	2218	17.054
20.0	500	29	2280	sredenicgtassrep	2656	24.827
20.0	520	27	768	srtspledaeivstro	1746	6.339
20.0	540	37	2334	dlsreiaetrntased	2728	24.042
20.0	560	44	2300	ltsreaedmrinotse	2217	21.602
20.0	580	59	2753	aterstisenalider	2360	30.257
30.0	20	12	59	xmotegiwerncstah	846	0.277
30.0	40	17	144	tdgaoserrlatetin	1225	1.079
30.0	60	32	446	sedntirecalthenp	1841	4.112
30.0	80	60	523	rlshteatitrenesp	1826	4.803
30.0	100	21	293	gdtoeaenlsreping	1258	2.42
30.0	120	38	561	tlpsaieertnrdest	2287	5.637
30.0	140	51	715	rslaeitenaregtst	2022	7.516
30.0	160	56	1394	rdarseespltnraig	2245	15.536
30.0	180	39	1173	nblsreataterchsd	2133	11.796
30.0	200	71	867	srlsmetadiresaps	2038	7.982
30.0	220	30	593	desopertlatecsns	2207	6.592
30.0	240	47	2591	saegrtnreiaespls	3118	27.578
30.0	260	34	966	hersctnesarideta	1923	9.074
30.0	280	35	1496	anipetorsrespatd	1973	14.947
30.0	300	32	1005	snoceilsrateetsr	1994	9.536
30.0	320	39	421	dquoyaretetasgdih	782	2.442
30.0	340	26	884	tersnrdeieathcsn	1904	8.124
30.0	360	41	1225	trstaeildenarsts	1820	11.098
30.0	380	71	1648	heaistrneaesdlpr	2392	16.625
30.0	400	48	2524	costprteeaerltsd	2004	26.059
30.0	420	39	938	pnteesiratespltd	1724	8.22
30.0	440	50	2599	serglandpitesers	3278	27.145
30.0	460	80	2343	aledstireansrger	2412	21.189
30.0	480	38	2042	htlpseaensrditei	2354	23.549
30.0	500	56	2390	lpsriaepntriseed	2468	26.011
30.0	520	47	1769	slasiteperadrstn	2177	19.16
30.0	540	48	2027	gnabetilsatecors	2362	18.2
30.0	560	54	2272	srideaespltnosia	2658	24.465
30.0	580	50	3017	dilssetarseropac	2231	30.993
40.0	20	39	202	mniwsailptlnosed	987	1.145
40.0	40	65	308	dfhpreasetrtvsne	1083	2.094
40.0	60	47	424	iestrtlseeaodsrc	1722	3.634
40.0	80	42	502	mngaiaindrteoers	1683	3.686
40.0	100	50	491	eseldtapsrisrena	1834	3.872
40.0	120	42	502	pessnaterilretps	1805	4.041
40.0	140	60	988	srebecalhtspuser	1900	8.238
40.0	160	37	708	pstnoteeralriest	1385	5.945
40.0	180	59	652	mdpssaetitrssnec	1835	5.683
40.0	200	93	992	retssrnietapisel	2039	8.296
40.0	220	71	1007	gnsroeiasrtltaes	2224	10.469
40.0	240	28	896	cpshlateiertdnse	2149	8.874
40.0	260	42	1014	isedmtrlsiaegnst	2007	9.621
40.0	280	66	1705	rtnsseaietrlides	2106	16.039
40.0	300	48	1271	asedstineratrdes	2421	13.598
40.0	320	49	1119	repsditanerngseg	2287	11.073
40.0	340	63	1232	chsrstaeertldios	1933	10.874
40.0	360	60	3356	plmdiaeinrtsseal	2496	36.595
40.0	380	31	1075	sthsirecedalstep	2105	10.61
40.0	400	57	2157	setantrsiaeislpd	3028	26.819
40.0	420	70	1307	ntsdireiealmtspi	1985	12.625
40.0	440	60	2495	blpraiesntrdseaw	2892	26.975
40.0	460	17	565	quslbieearpstater	1364	5.165
40.0	480	46	1747	sensrtigeraldsep	2867	19.801
40.0	500	46	1845	edstileropaestts	2106	16.191
40.0	520	71	2748	senaritstalesprs	2476	26.536
40.0	540	63	3626	sresetiptnalsres	3232	45.778
40.0	560	50	1729	dalsnetisretepas	2151	19.439
40.0	580	53	1926	slesetarretiwsng	2017	20.395
50.0	20	50	143	osgssnetirinjlef	776	0.892
50.0	40	40	203	sesegnrtiraetldm	1612	1.463
50.0	60	45	333	bathoinelersgate	1601	3.048
50.0	80	61	385	sreselimetapdnsa	2060	3.696
50.0	100	72	743	eserltsdearodehc	1616	6.764
50.0	120	58	822	ridosetultrsbaeo	1720	7.008
50.0	140	39	520	ressdatoliresest	2110	5.569
50.0	160	82	684	sgspnrlteiaestrd	2302	5.179
50.0	180	78	1515	sepsnralgitedesr	2238	13.187
50.0	200	39	946	nsivotederanslig	2132	9.886
50.0	220	70	887	reslpnieeatdmsre	1863	7.461
50.0	240	137	1303	orecstasnetlride	2026	11.217
50.0	260	70	993	kcsealitetansreg	2175	8.718
50.0	280	68	1975	sersdntreiaerslb	2813	21.995
50.0	300	78	1394	deasstrtaieongns	2158	13.482
50.0	320	62	1278	osrdplesaeitsnra	2111	11.302
50.0	340	115	1704	resagrtlenaestid	2237	15.217
50.0	360	71	1531	stesentrraiemrls	2226	14.701
50.0	380	90	2283	sresentrciaetslp	2599	23.203
50.0	400	40	1493	mrstaiesltndsaer	2565	16.884
50.0	420	79	1561	rcsleratitensnsd	1959	15.227
50.0	440	120	2035	aegmrniasetldtes	2085	17.743
50.0	460	122	1527	sreletamtsiraned	2441	16.105
50.0	480	43	995	eslbriaeentrdtes	2465	10.162
50.0	500	62	922	rslgmerapatelsnd	2058	8.005
50.0	520	63	2959	plshiaettnrrseds	2789	33.009
50.0	540	126	2351	clpseaiesrndates	2912	27.1
50.0	560	59	2273	giesdntrseiarplf	2934	28.189
50.0	580	82	2692	deasrltrpaiesgns	2722	29.809
60.0	20	114	301	noreterscatosedh	1281	2.112
60.0	40	58	473	adsoerieeltsstat	1295	4.5
60.0	60	66	241	selttrtepasrcenh	1216	1.509
60.0	80	57	583	psthoresetadsmel	1844	5.388
60.0	100	139	602	rdlsleionartites	1693	4.611
60.0	120	98	459	featsrtsenieager	1646	3.445
60.0	140	79	826	inehprtsseairdlw	2023	7.699
60.0	160	77	902	sitslanemeridsto	2487	8.268
60.0	180	102	1190	teossntreaiebrps	2187	11.572
60.0	200	63	1125	stecserdlinebatt	2098	11.506
60.0	220	46	931	cntseaiesrmrptes	2346	9.584
60.0	240	102	1297	seaslrtdeaiehtsn	2085	12.04
60.0	260	114	1248	lepetarsseitrdns	2618	12.65
60.0	280	112	2396	smtsdiaeenrpstos	2581	23.845
60.0	300	63	1873	esrepatdlinesers	3002	20.445
60.0	320	164	1131	rsnmegaibltroase	1885	8.743
60.0	340	89	870	qupshelastretinst	1713	7.488
60.0	360	49	1895	blprsaestnrtieso	2305	20.051
60.0	380	100	1189	ietsstraainemgst	1937	10.999
60.0	400	60	1532	ostdpreoeasrlstu	1958	15.957
60.0	420	35	1599	tiesnstrueaorlps	2189	16.496
60.0	440	84	1475	slpseaoerntrsesa	2171	14.428
60.0	460	56	1811	slpmoeashcrttsen	2154	16.678
60.0	480	97	2168	sertpaselitsdero	2592	23.958
60.0	500	66	1893	tcrpsraeeitsdena	2352	19.591
60.0	520	70	2102	tsreeaitplnsoser	2145	20.075
60.0	540	65	1417	osesprtnaeiastls	2708	17.758
60.0	560	59	2370	dnereitssraltsep	2757	23.826
60.0	580	56	1897	psidutenorasspet	2504	20.161
70.0	20	41	159	iquedbtarasrcaleb	741	0.95
70.0	40	79	283	eredesintantsrgi	1323	1.711
70.0	60	105	566	slcheaisrntaiesr	1864	4.235
